iter	Passed	Remaining
895	68138	7908
896	68221	7833
897	68291	7756
898	68360	7680
899	68434	7603
900	68510	7527
901	68565	7449
902	68641	7373
903	68721	7297
904	68788	7220
905	68860	7144
906	68936	7068
907	69017	6992
908	69095	6917
909	69159	6839
910	69237	6764
911	69307	6687
912	69377	6610
913	69451	6534
914	69525	6458
915	69598	6382
916	69666	6305
917	69739	6229
918	69813	6153
919	69882	6076
920	69951	6000
921	70029	5924
922	70107	5848
923	70175	5771
924	70243	5695
925	70308	5618
926	70378	5542
927	70475	5467
928	70537	5390
929	70613	5315
930	70674	5237
931	70744	5161
932	70814	5085
933	70884	5008
934	70954	4932
935	71028	4856
936	71108	4781
937	71251	4709
938	71376	4636
939	71448	4560
940	71520	4484
941	71587	4407
942	71662	4331
943	71733	4255
944	71801	4178
945	71876	4102
946	71965	4027
947	72076	3953
948	72151	3877
949	72229	3801
950	72295	3725
951	72364	3648
952	72443	3572
953	72508	3496
954	72577	3419
955	72647	3343
956	72711	3267
957	72777	3190
958	72849	3114
959	72919	3038
960	72990	2962
961	73065	2886
962	73132	2809
963	73200	2733
964	73264	2657
965	73335	2581
966	73402	2504
967	73468	2428
968	73547	2352
969	73620	2276
970	73692	2200
971	73756	2124
972	73835	2048
973	73901	1972
974	73974	1896
975	74051	1820
976	74129	1745
977	74208	1669
978	74278	1593
979	74354	1517
980	74425	1441
981	74493	1365
982	74571	1289
983	74649	1213
984	74718	1137
985	74790	1061
986	74859	985
987	74926	910
988	74996	834
989	75072	758
990	75134	682
991	75202	606
992	75277	530
993	75346	454
994	75414	378
995	75483	303
996	75556	227
997	75623	151
998	75693	75
999	75757	0
